Raw Data 		Experiment - 2015-9-14 gezi xingbie jianding PCR(0006082,0006083,0006084,0006085) (Run on LCS480 1.5.1.62)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510	
A1	Sample 1	2	2	1	666520	59.94	2.21
A1	Sample 1	2	2	2	720160	59.94	2.24
A1	Sample 1	2	2	3	773870	59.93	2.21
A1	Sample 1	2	2	4	827560	59.96	2.22
A1	Sample 1	2	2	5	881260	59.95	2.19
A1	Sample 1	2	2	6	934970	59.94	2.18
A1	Sample 1	2	2	7	988660	59.9	2.18
A1	Sample 1	2	2	8	1042370	59.93	2.16
A1	Sample 1	2	2	9	1096060	59.93	2.15
A1	Sample 1	2	2	10	1149770	59.93	2.13
A1	Sample 1	2	2	11	1203460	59.93	2.14
A1	Sample 1	2	2	12	1257180	59.93	2.12
A1	Sample 1	2	2	13	1310870	59.96	2.13
A1	Sample 1	2	2	14	1364570	59.96	2.09
A1	Sample 1	2	2	15	1418270	59.95	2.10
A1	Sample 1	2	2	16	1471960	59.95	2.10
A1	Sample 1	2	2	17	1525570	59.94	2.10
A1	Sample 1	2	2	18	1579270	59.94	2.10
A1	Sample 1	2	2	19	1632970	59.93	2.08
A1	Sample 1	2	2	20	1686670	59.96	2.09
A1	Sample 1	2	2	21	1740380	59.96	2.07
A1	Sample 1	2	2	22	1794070	59.93	2.05
A1	Sample 1	2	2	23	1847780	59.93	2.05
A1	Sample 1	2	2	24	1901470	59.93	2.05
A1	Sample 1	2	2	25	1955080	59.94	2.06
A1	Sample 1	2	2	26	2008780	59.94	2.05
A1	Sample 1	2	2	27	2062470	59.94	2.05
A1	Sample 1	2	2	28	2116180	59.94	2.05
A1	Sample 1	2	2	29	2169890	59.94	2.03
A1	Sample 1	2	2	30	2223580	59.93	2.03
A1	Sample 1	2	2	31	2277290	59.93	2.03
A1	Sample 1	2	2	32	2330980	59.93	2.04
A1	Sample 1	2	2	33	2384680	59.92	2.03
A1	Sample 1	2	2	34	2438380	59.95	2.03
A1	Sample 1	2	2	35	2491980	59.92	2.04
A1	Sample 1	2	2	36	2545600	59.95	2.05
A1	Sample 1	2	2	37	2599290	59.95	2.04
A1	Sample 1	2	2	38	2652980	59.95	2.05
A1	Sample 1	2	2	39	2706690	59.95	2.08
A1	Sample 1	2	2	40	2760380	59.95	2.14
A1	Sample 1	2	2	41	2813990	59.95	2.18
A1	Sample 1	2	2	42	2867690	59.95	2.31
A1	Sample 1	2	2	43	2921410	59.92	2.49
A1	Sample 1	2	2	44	2975090	59.95	2.71
A1	Sample 1	2	2	45	3028800	59.95	2.93
A1	Sample 1	3	3	1	3125490	64.93	3.01
A1	Sample 1	3	3	1	3126780	64.66	3.02
A1	Sample 1	3	3	1	3128070	64.72	3.04
A1	Sample 1	3	3	1	3129370	65.16	3.01
A1	Sample 1	3	3	1	3130650	65.45	3.02
A1	Sample 1	3	3	1	3131950	65.73	2.99
A1	Sample 1	3	3	1	3133230	65.97	2.97
A1	Sample 1	3	3	1	3134500	66.23	2.96
A1	Sample 1	3	3	1	3135780	66.45	2.94
A1	Sample 1	3	3	1	3137060	66.62	2.95
A1	Sample 1	3	3	1	3138360	66.86	2.90
A1	Sample 1	3	3	1	3139640	67.1	2.90
A1	Sample 1	3	3	1	3140940	67.27	2.89
A1	Sample 1	3	3	1	3142220	67.48	2.87
A1	Sample 1	3	3	1	3143500	67.71	2.86
A1	Sample 1	3	3	1	3144790	67.92	2.83
A1	Sample 1	3	3	1	3146080	68.13	2.84
A1	Sample 1	3	3	1	3147370	68.3	2.81
A1	Sample 1	3	3	1	3148670	68.54	2.78
A1	Sample 1	3	3	1	3149960	68.71	2.77
A1	Sample 1	3	3	1	3151250	68.93	2.77
A1	Sample 1	3	3	1	3152540	69.13	2.77
A1	Sample 1	3	3	1	3153830	69.3	2.72
A1	Sample 1	3	3	1	3155120	69.57	2.73
A1	Sample 1	3	3	1	3156400	69.77	2.72
A1	Sample 1	3	3	1	3157680	69.94	2.68
A1	Sample 1	3	3	1	3158980	70.15	2.67
A1	Sample 1	3	3	1	3160250	70.34	2.65
A1	Sample 1	3	3	1	3161550	70.55	2.64
A1	Sample 1	3	3	1	3162840	70.77	2.63
A1	Sample 1	3	3	1	3164120	70.93	2.62
A1	Sample 1	3	3	1	3165410	71.17	2.60
A1	Sample 1	3	3	1	3166700	71.38	2.58
A1	Sample 1	3	3	1	3167980	71.57	2.56
A1	Sample 1	3	3	1	3169270	71.78	2.56
A1	Sample 1	3	3	1	3170540	71.93	2.52
A1	Sample 1	3	3	1	3171820	72.18	2.51
A1	Sample 1	3	3	1	3173100	72.39	2.50
A1	Sample 1	3	3	1	3174400	72.59	2.47
A1	Sample 1	3	3	1	3175700	72.79	2.44
A1	Sample 1	3	3	1	3176990	73	2.41
A1	Sample 1	3	3	1	3178270	73.21	2.40
A1	Sample 1	3	3	1	3179570	73.38	2.34
A1	Sample 1	3	3	1	3180850	73.59	2.29
A1	Sample 1	3	3	1	3182130	73.79	2.26
A1	Sample 1	3	3	1	3183420	74.02	2.20
A1	Sample 1	3	3	1	3184710	74.19	2.16
A1	Sample 1	3	3	1	3186010	74.4	2.11
A1	Sample 1	3	3	1	3187310	74.62	2.05
A1	Sample 1	3	3	1	3188590	74.82	2.03
A1	Sample 1	3	3	1	3189890	75.03	1.99
A1	Sample 1	3	3	1	3191200	75.23	1.97
A1	Sample 1	3	3	1	3192490	75.43	1.96
A1	Sample 1	3	3	1	3193780	75.64	1.95
A1	Sample 1	3	3	1	3195070	75.85	1.91
A1	Sample 1	3	3	1	3196380	76.05	1.90
A1	Sample 1	3	3	1	3197680	76.26	1.90
A1	Sample 1	3	3	1	3198960	76.43	1.89
A1	Sample 1	3	3	1	3200260	76.66	1.87
A1	Sample 1	3	3	1	3201540	76.85	1.84
A1	Sample 1	3	3	1	3202820	77.06	1.83
A1	Sample 1	3	3	1	3204100	77.26	1.83
A1	Sample 1	3	3	1	3205380	77.44	1.83
A1	Sample 1	3	3	1	3206670	77.67	1.79
A1	Sample 1	3	3	1	3207960	77.87	1.79
A1	Sample 1	3	3	1	3209260	78.07	1.77
A1	Sample 1	3	3	1	3210570	78.28	1.76
A1	Sample 1	3	3	1	3211860	78.47	1.76
A1	Sample 1	3	3	1	3213160	78.68	1.71
A1	Sample 1	3	3	1	3214460	78.89	1.71
A1	Sample 1	3	3	1	3215740	79.08	1.66
A1	Sample 1	3	3	1	3217040	79.3	1.63
A1	Sample 1	3	3	1	3218320	79.5	1.62
A1	Sample 1	3	3	1	3219600	79.7	1.60
A1	Sample 1	3	3	1	3220880	79.91	1.56
A1	Sample 1	3	3	1	3222170	80.1	1.54
A1	Sample 1	3	3	1	3223460	80.32	1.48
A1	Sample 1	3	3	1	3224750	80.53	1.38
A1	Sample 1	3	3	1	3226040	80.7	1.27
A1	Sample 1	3	3	1	3227320	80.9	1.16
A1	Sample 1	3	3	1	3228610	81.12	1.07
A1	Sample 1	3	3	1	3229900	81.32	1.05
A1	Sample 1	3	3	1	3231190	81.55	1.03
A1	Sample 1	3	3	1	3232490	81.73	1.02
A1	Sample 1	3	3	1	3233780	81.94	1.01
A1	Sample 1	3	3	1	3235090	82.15	1.01
A1	Sample 1	3	3	1	3236370	82.37	1.00
A1	Sample 1	3	3	1	3237650	82.55	1.01
A1	Sample 1	3	3	1	3238950	82.73	0.99
