Experiment: 2015-9-14 gezi xingbie jianding PCR(0006078,0006079,0006080,0006081)  Selected Filter: SYBR Green I / HRM Dye (465-510)
Include	Color	Pos	Name	Tm1	Tm2	Status
True	255	A1	Sample 1	80.69		
True	255	A2	Sample 2	80.87		
True	255	A3	Sample 3	80.88		
True	3200768	A4	Sample 4	75.78	80.57	
True	255	A5	Sample 5	80.57		
True	3200768	A6	Sample 6	76.37	80.87	
True	3200768	A7	Sample 7	76.12	80.76	
True	255	A8	Sample 8	80.46		
True	3200768	A9	Sample 9	76.30	80.91	
True	255	A10	Sample 10	73.91		
True	255	A11	Sample 11	80.85		
True	255	A12	Sample 12	80.01		
True	255	A13	Sample 13	79.69		
True	3200768	A14	Sample 14	76.58	81.00	
True	255	A15	Sample 15	80.93		
True	3200768	A16	Sample 16	76.34	80.78	
True	3200768	A17	Sample 17	76.47	80.80	
True	255	A18	Sample 18	80.26		
True	3200768	A19	Sample 19	76.19	80.83	
True	3200768	A20	Sample 20	76.48	81.00	
True	3200768	A21	Sample 21	76.58	81.08	
True	3200768	A22	Sample 22	76.68	81.12	
True	255	A23	Sample 23	80.91		
True	255	A24	Sample 24	81.10		
True	255	B1	Sample 25	80.88		
True	3200768	B2	Sample 26	76.36	80.91	
True	3200768	B3	Sample 27	76.41	80.85	
True	255	B4	Sample 28	80.81		
True	255	B5	Sample 29	80.59		
True	3200768	B6	Sample 30	75.77	80.91	
True	3200768	B7	Sample 31	75.98	80.74	
True	255	B8	Sample 32	80.76		
True	3200768	B9	Sample 33	75.95	80.92	
True	255	B10	Sample 34	80.82		
True	255	B11	Sample 35	80.81		
True	3200768	B12	Sample 36	76.49	80.85	
True	3200768	B13	Sample 37	76.54	80.96	
True	255	B14	Sample 38	80.65		
True	255	B15	Sample 39	80.80		
True	255	B16	Sample 40	80.88		
True	255	B17	Sample 41	80.71		
True	255	B18	Sample 42	80.94		
True	3200768	B19	Sample 43	76.67	81.08	
True	255	B20	Sample 44	81.02		
True	255	B21	Sample 45	80.95		
