Raw Data 		Experiment - 2015-9-14 gezi xingbie jianding PCR(0006078,0006079,0006080,0006081) (Run on LCS480 1.5.1.62)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510	
A1	Sample 1	2	2	1	664630	59.95	1.65
A1	Sample 1	2	2	2	718310	59.93	1.64
A1	Sample 1	2	2	3	771910	59.96	1.62
A1	Sample 1	2	2	4	825510	59.94	1.63
A1	Sample 1	2	2	5	879100	59.94	1.61
A1	Sample 1	2	2	6	932720	59.93	1.70
A1	Sample 1	2	2	7	986310	59.93	1.70
A1	Sample 1	2	2	8	1039910	59.95	1.67
A1	Sample 1	2	2	9	1093530	59.95	1.66
A1	Sample 1	2	2	10	1147120	59.95	1.65
A1	Sample 1	2	2	11	1200710	59.95	1.63
A1	Sample 1	2	2	12	1254310	59.95	1.62
A1	Sample 1	2	2	13	1307920	59.95	1.63
A1	Sample 1	2	2	14	1361520	59.95	1.60
A1	Sample 1	2	2	15	1415120	59.95	1.61
A1	Sample 1	2	2	16	1468720	59.95	1.58
A1	Sample 1	2	2	17	1522330	59.95	1.56
A1	Sample 1	2	2	18	1575920	59.92	1.57
A1	Sample 1	2	2	19	1629520	59.95	1.55
A1	Sample 1	2	2	20	1683120	59.95	1.55
A1	Sample 1	2	2	21	1736730	59.95	1.53
A1	Sample 1	2	2	22	1790330	59.95	1.53
A1	Sample 1	2	2	23	1843940	59.95	1.52
A1	Sample 1	2	2	24	1897530	59.95	1.54
A1	Sample 1	2	2	25	1951120	59.95	1.52
A1	Sample 1	2	2	26	2004730	59.92	1.52
A1	Sample 1	2	2	27	2058330	59.95	1.51
A1	Sample 1	2	2	28	2111930	59.95	1.52
A1	Sample 1	2	2	29	2165520	59.95	1.53
A1	Sample 1	2	2	30	2219130	59.92	1.55
A1	Sample 1	2	2	31	2272730	59.92	1.57
A1	Sample 1	2	2	32	2326330	59.92	1.63
A1	Sample 1	2	2	33	2379930	59.95	1.75
A1	Sample 1	2	2	34	2433540	59.96	1.89
A1	Sample 1	2	2	35	2487140	59.96	2.11
A1	Sample 1	2	2	36	2540740	59.93	2.33
A1	Sample 1	2	2	37	2594330	59.93	2.53
A1	Sample 1	2	2	38	2647930	59.93	2.67
A1	Sample 1	2	2	39	2701540	59.93	2.79
A1	Sample 1	2	2	40	2755150	59.93	2.86
A1	Sample 1	2	2	41	2808740	59.93	2.92
A1	Sample 1	2	2	42	2862330	59.93	2.96
A1	Sample 1	2	2	43	2915940	59.93	2.96
A1	Sample 1	2	2	44	2969540	59.93	3.01
A1	Sample 1	2	2	45	3023150	59.93	3.01
A1	Sample 1	3	3	1	3119650	64.93	2.82
A1	Sample 1	3	3	1	3120930	64.65	2.83
A1	Sample 1	3	3	1	3122210	64.66	2.84
A1	Sample 1	3	3	1	3123510	65.11	2.80
A1	Sample 1	3	3	1	3124780	65.44	2.79
A1	Sample 1	3	3	1	3126090	65.71	2.80
A1	Sample 1	3	3	1	3127380	65.98	2.77
A1	Sample 1	3	3	1	3128680	66.21	2.76
A1	Sample 1	3	3	1	3129960	66.42	2.75
A1	Sample 1	3	3	1	3131240	66.65	2.73
A1	Sample 1	3	3	1	3132520	66.9	2.72
A1	Sample 1	3	3	1	3133810	67.08	2.71
A1	Sample 1	3	3	1	3135090	67.28	2.68
A1	Sample 1	3	3	1	3136360	67.49	2.68
A1	Sample 1	3	3	1	3137640	67.72	2.68
A1	Sample 1	3	3	1	3138920	67.96	2.68
A1	Sample 1	3	3	1	3140220	68.14	2.65
A1	Sample 1	3	3	1	3141530	68.33	2.64
A1	Sample 1	3	3	1	3142820	68.54	2.62
A1	Sample 1	3	3	1	3144110	68.75	2.63
A1	Sample 1	3	3	1	3145420	68.97	2.59
A1	Sample 1	3	3	1	3146700	69.17	2.60
A1	Sample 1	3	3	1	3147980	69.34	2.58
A1	Sample 1	3	3	1	3149280	69.58	2.57
A1	Sample 1	3	3	1	3150570	69.78	2.57
A1	Sample 1	3	3	1	3151870	69.98	2.56
A1	Sample 1	3	3	1	3153170	70.19	2.55
A1	Sample 1	3	3	1	3154450	70.41	2.52
A1	Sample 1	3	3	1	3155730	70.62	2.52
A1	Sample 1	3	3	1	3157030	70.84	2.51
A1	Sample 1	3	3	1	3158310	71	2.51
A1	Sample 1	3	3	1	3159600	71.21	2.49
A1	Sample 1	3	3	1	3160890	71.45	2.47
A1	Sample 1	3	3	1	3162170	71.64	2.47
A1	Sample 1	3	3	1	3163460	71.85	2.45
A1	Sample 1	3	3	1	3164740	72.02	2.45
A1	Sample 1	3	3	1	3166030	72.26	2.43
A1	Sample 1	3	3	1	3167310	72.46	2.43
A1	Sample 1	3	3	1	3168590	72.66	2.41
A1	Sample 1	3	3	1	3169890	72.87	2.42
A1	Sample 1	3	3	1	3171190	73.08	2.38
A1	Sample 1	3	3	1	3172480	73.28	2.40
A1	Sample 1	3	3	1	3173760	73.49	2.38
A1	Sample 1	3	3	1	3175050	73.68	2.37
A1	Sample 1	3	3	1	3176330	73.89	2.36
A1	Sample 1	3	3	1	3177630	74.12	2.33
A1	Sample 1	3	3	1	3178910	74.28	2.33
A1	Sample 1	3	3	1	3180200	74.49	2.32
A1	Sample 1	3	3	1	3181480	74.7	2.30
A1	Sample 1	3	3	1	3182760	74.92	2.30
A1	Sample 1	3	3	1	3184050	75.13	2.29
A1	Sample 1	3	3	1	3185340	75.34	2.26
A1	Sample 1	3	3	1	3186640	75.54	2.24
A1	Sample 1	3	3	1	3187930	75.75	2.24
A1	Sample 1	3	3	1	3189210	75.94	2.22
A1	Sample 1	3	3	1	3190490	76.15	2.21
A1	Sample 1	3	3	1	3191770	76.35	2.19
A1	Sample 1	3	3	1	3193070	76.55	2.18
A1	Sample 1	3	3	1	3194360	76.79	2.17
A1	Sample 1	3	3	1	3195650	76.98	2.15
A1	Sample 1	3	3	1	3196940	77.19	2.14
A1	Sample 1	3	3	1	3198260	77.37	2.14
A1	Sample 1	3	3	1	3199540	77.62	2.10
A1	Sample 1	3	3	1	3200840	77.83	2.10
A1	Sample 1	3	3	1	3202120	78	2.07
A1	Sample 1	3	3	1	3203410	78.21	2.07
A1	Sample 1	3	3	1	3204700	78.42	2.05
A1	Sample 1	3	3	1	3205980	78.62	2.05
A1	Sample 1	3	3	1	3207260	78.85	2.02
A1	Sample 1	3	3	1	3208540	79.03	2.02
A1	Sample 1	3	3	1	3209820	79.23	2.00
A1	Sample 1	3	3	1	3211110	79.43	1.99
A1	Sample 1	3	3	1	3212410	79.63	1.95
A1	Sample 1	3	3	1	3213690	79.84	1.92
A1	Sample 1	3	3	1	3214990	80.07	1.87
A1	Sample 1	3	3	1	3216270	80.27	1.81
A1	Sample 1	3	3	1	3217550	80.48	1.65
A1	Sample 1	3	3	1	3218840	80.69	1.39
A1	Sample 1	3	3	1	3220140	80.89	1.09
A1	Sample 1	3	3	1	3221460	81.1	0.90
A1	Sample 1	3	3	1	3222760	81.3	0.81
A1	Sample 1	3	3	1	3224050	81.53	0.79
A1	Sample 1	3	3	1	3225350	81.71	0.79
A1	Sample 1	3	3	1	3226640	81.92	0.78
A1	Sample 1	3	3	1	3227920	82.16	0.78
A1	Sample 1	3	3	1	3229200	82.31	0.75
A1	Sample 1	3	3	1	3230480	82.55	0.76
A1	Sample 1	3	3	1	3231770	82.75	0.75
A1	Sample 1	3	3	1	3233050	82.92	0.73
A1	Sample 1	3	3	1	3234330	83.17	0.74
A1	Sample 1	3	3	1	3235640	83.37	0.74
A1	Sample 1	3	3	1	3236920	83.57	0.74
A1	Sample 1	3	3	1	3238210	83.76	0.74
A1	Sample 1	3	3	1	3239500	83.98	0.73
A1	Sample 1	3	3	1	3240790	84.2	0.73
A1	Sample 1	3	3	1	3242080	84.38	0.72
A1	Sample 1	3	3	1	3243350	84.58	0.71
A1	Sample 1	3	3	1	3244640	84.79	0.71
A1	Sample 1	3	3	1	3245930	85.03	0.69
A1	Sample 1	3	3	1	3247210	85.21	0.70
A1	Sample 1	3	3	1	3248500	85.42	0.69
A1	Sample 1	3	3	1	3249790	85.6	0.69
A1	Sample 1	3	3	1	3251070	85.84	0.69
A1	Sample 1	3	3	1	3252340	86.05	0.69
A1	Sample 1	3	3	1	3253650	86.26	0.67
A1	Sample 1	3	3	1	3254930	86.44	0.67
A1	Sample 1	3	3	1	3256210	86.63	0.67
A1	Sample 1	3	3	1	3257510	86.87	0.67
A1	Sample 1	3	3	1	3258790	87.04	0.66
A1	Sample 1	3	3	1	3260100	87.25	0.66
A1	Sample 1	3	3	1	3261380	87.44	0.66
A1	Sample 1	3	3	1	3262670	87.68	0.64
A1	Sample 1	3	3	1	3263970	87.89	0.64
A1	Sample 1	3	3	1	3265270	88.11	0.63
A1	Sample 1	3	3	1	3266560	88.28	0.65
A1	Sample 1	3	3	1	3267840	88.5	0.63
A1	Sample 1	3	3	1	3269120	88.73	0.62
A1	Sample 1	3	3	1	3270420	88.9	0.63
A1	Sample 1	3	3	1	3271710	89.12	0.62
A1	Sample 1	3	3	1	3273010	89.3	0.62
A1	Sample 1	3	3	1	3274290	89.51	0.62
A1	Sample 1	3	3	1	3275580	89.74	0.60
A1	Sample 1	3	3	1	3276870	89.94	0.60
A1	Sample 1	3	3	1	3278140	90.17	0.62
A1	Sample 1	3	3	1	3279420	90.33	0.59
A1	Sample 1	3	3	1	3280700	90.57	0.59
A1	Sample 1	3	3	1	3281980	90.76	0.59
A1	Sample 1	3	3	1	3283270	90.98	0.60
A1	Sample 1	3	3	1	3284570	91.16	0.58
A1	Sample 1	3	3	1	3285860	91.39	0.57
A1	Sample 1	3	3	1	3287170	91.6	0.57
A1	Sample 1	3	3	1	3288470	91.79	0.57
A1	Sample 1	3	3	1	3289750	92.02	0.56
A1	Sample 1	3	3	1	3291030	92.2	0.56
A1	Sample 1	3	3	1	3292330	92.42	0.56
A1	Sample 1	3	3	1	3293610	92.61	0.56
A1	Sample 1	3	3	1	3294890	92.83	0.54
A1	Sample 1	3	3	1	3296170	93.03	0.55
A1	Sample 1	3	3	1	3297460	93.21	0.53
A1	Sample 1	3	3	1	3298750	93.44	0.54
A1	Sample 1	3	3	1	3300040	93.64	0.56
A1	Sample 1	3	3	1	3301320	93.86	0.53
A1	Sample 1	3	3	1	3302610	94.06	0.53
A1	Sample 1	3	3	1	3303900	94.22	0.53
A1	Sample 1	3	3	1	3305200	94.47	0.53
A1	Sample 1	3	3	1	3306510	94.67	0.52
A1	Sample 1	3	3	1	3307800	94.86	0.52
A1	Sample 1	3	3	1	3309090	95.09	0.52
A1	Sample 1	3	3	1	3310370	95.26	0.51
A1	Sample 1	3	3	1	3311650	95.51	0.52
A1	Sample 1	3	3	1	3312930	95.71	0.52
A1	Sample 1	3	3	1	3314210	95.9	0.52
A1	Sample 1	3	3	1	3315490	96.11	0.49
A1	Sample 1	3	3	1	3316810	96.31	0.51
A1	Sample 1	3	3	1	3318120	96.53	0.49
A1	Sample 1	3	3	1	3319400	96.74	0.50
A2	Sample 2	2	2	1	664630	59.95	2.53
A2	Sample 2	2	2	2	718310	59.93	2.47
A2	Sample 2	2	2	3	771910	59.96	2.45
A2	Sample 2	2	2	4	825510	59.94	2.46
A2	Sample 2	2	2	5	879100	59.94	2.46
A2	Sample 2	2	2	6	932720	59.93	2.45
A2	Sample 2	2	2	7	986310	59.93	2.44
A2	Sample 2	2	2	8	1039910	59.95	2.41
A2	Sample 2	2	2	9	1093530	59.95	2.43
